Infraestructura,Clima,Deporte,Restaurantes / Servicios Comid,Vegetación/ Fauna,Transporte,Turismo,Publicaciones acerca de arquitectura,Mapas y Navegación,Inmobiliario,Estacionamiento y movilidad,Demografia
CityEngine,OpenWeatherMap,MapmyIndia,Foursquare,iNaturalist,Cabify,Pocketsights,ArchDaily,Google Maps,TripAdvisor,Estacionamientos Cerca,INEGI Mapa Digital
Esri Urban,RainToday,Navmii,Wolt,PlantNet,Uber,GeoFeedia,Architizer,Open Street Maps,Airbnb,Parkimovil,HumanTerrain
UrbanFootprint,Dark Sky,Sygic,Foodpanda,Flora Incognita,Didi,Foursquare,ArchitectureAU,Bing Maps,Booking.com,ParkNow,World Bank Open Data
Placemeter,Ventusky,Bikemap,Zomato,Leafsnap,Bolt,EarthCam,Arquine,MapQuest,Yelp,Parclick,unsd
Urban Observatory,Windy,Runkeeper,Uber Eats,PictureThis,Citymapper,City-Data,,Apple Maps,AllStays,ValetMX,Eurostat
Streetmix,Weather Underground,AllTrails,Rappi,,Moovit,Geonames,,Here Maps,iOverlander,ParkMobile,
ArcGIS Online,AccuWeather,Nextdoor,MyFitnessPal,,Transit,National Geographic Maps,,TomTom,Roadtrippers,SpotHero,
Mapa Digital de México del INEGI,,Waze Carpool,SinDelantal,,Waze,Nextdoor,,Mapbox,Zillow,ParkWhiz,
TopoView,,Lime,Rappi,,Beat,Urban Observatory,,GPS Visualizer,Realtor.com,Turo,
CartoDB,,Strava,Cornershop,,Geotab,,,TomTom,Redfin,Zipcar,
Mapzen,,Nike Run Club,Glovo,,Easy Taxi,,,Geocodio,Propiedades.com,Car2Go,
CityGML,,Runkeeper,Carrot,,Yaxi,,,Leaflet,Inmuebles24,Lime,
Esri Living Atlas of the World,,MyFitnessPal,Yelp,,Grin,,,MapQuest,Vivanuncios,Bird,
OpenAddresses,,AllTrails,,,Lime,,,OpenCage Geocoder,MercadoLibre Inmuebles,Spin,
,,REI Co-op Guide,,,Mobike,,,Mappy,Properati,Skip,
,,ViewRanger,,,Biko,,,Mapillary,Casas y Terrenos,Scoot,
,,Gaia GPS,,,BikeShareMX,,,Geojson.io,Century 21 México,JUMP,
,,CalTopo,,,CityBikeMX,,,Here,WalkScore,Limebike,
,,Avenza Maps,,,PedalMX,,,Sygic,,,
,,Gaiagps,,,EcoBici CDMX,,,Mapbox,,,
,,,,,ViaDF,,,OSMAnd,,,
,,,,,Gasoapp,,,TopoExport,,,
,,,,,AhorraGas,,,,,,
,,,,,Gasmapp,,,,,,
